Chunk_ID,Longitude,Latitude,Altitude_m,MC_Draws,Cluster_Size
62,85.18528079964719,27.36130201021858,17244.760523989953,5,50
63,84.96433543762973,27.475556717729905,22153.12646259499,5,32
64,85.01425879937516,27.40862220636217,19313.64416359648,5,61
65,85.12289572375266,27.34757535900631,16443.576145134568,5,57
66,84.98293171256563,27.439009343651808,20791.000692272803,5,34
67,85.0756984719952,27.401435477684295,18833.61331771613,5,58
68,84.98547903199389,27.368653982259136,17525.71753546698,5,55
69,85.03374440067468,27.39476293571647,18680.529487506577,5,53
70,84.9339834952151,27.459741372133404,21589.718013742393,5,46
71,85.03900504049003,27.459255792060183,21711.06618549052,5,54
72,84.92150542216571,27.49315803751267,23325.211478669757,5,45
73,85.00490026168248,27.371969959980746,17915.380698065786,5,43
74,84.95559372060467,27.40499538181984,19228.43125919809,5,46
75,85.0612380307621,27.412385996085007,19427.474208441283,5,54
76,84.96173429257534,27.500538942422626,23696.26504387246,5,54
77,85.02469265211259,27.368882479665615,17660.851579870705,5,66
78,85.14220650162514,27.366469831665885,17548.493145679317,5,51
79,84.99172117785841,27.51100659032299,24014.036818873847,5,30
80,84.97209922357563,27.49154617407084,23168.386104059813,5,53
81,85.05530889850722,27.381074371790838,18137.719901952398,5,43
82,84.95496138681833,27.479937968146785,22789.60179099044,5,59
83,84.95976202077578,27.435879621319852,20630.388506242347,5,63
84,85.15182529011673,27.395034932540568,18785.969106449513,5,33
85,85.04297529493005,27.446585552464807,21027.14076573254,5,38
86,85.10237241913678,27.390030852584115,18832.890546225186,5,40
87,85.15948892802845,27.368991232981926,17774.52034477075,5,66
88,85.02755309094616,27.47426404153131,22092.822589465017,5,45
89,85.03816372540746,27.36069708828168,17440.968601441058,5,45
90,84.97295199720587,27.458407115377724,21640.731957457214,5,38
91,85.01010458975259,27.42145095375348,20133.168961563963,5,46
92,84.98742412713042,27.448167341382796,21098.74396870194,5,47
93,85.1187374860911,27.36247606625805,17399.287269841407,5,44
94,85.1332147410948,27.391694429866234,18480.435026855586,5,53
95,85.1386993752531,27.332393836775427,16109.050024088025,5,40
96,85.10295576415618,27.32904246919727,15850.890022443225,5,54
97,84.96572142826007,27.522960679568484,24345.550857713464,5,35
98,85.04531545133227,27.423823299466363,20232.605004162695,5,43
99,85.08585097580115,27.371327074942915,17562.19719047568,5,54
100,84.96732887934178,27.37594356172774,17807.90738691315,5,58
